price,created_on,operation,property_type
25000.0,2015-01-21,rent,house
1750.0,2015-01-21,rent,PH
3500.0,2015-01-21,rent,PH
3700.0,2015-01-08,rent,apartment
3400.0,2015-01-08,rent,apartment
2000.0,2015-01-08,rent,apartment
2300.0,2015-01-08,rent,apartment
4500.0,2015-01-21,rent,house
2000.0,2015-01-08,rent,PH
3500.0,2015-01-14,rent,apartment
12000.0,2015-01-08,rent,house
10000.0,2015-01-08,rent,house
2200.0,2015-01-08,rent,PH
3000.0,2015-01-21,rent,PH
3500.0,2015-01-21,rent,apartment
2600.0,2015-01-21,rent,PH
2900.0,2015-01-21,rent,apartment
2000.0,2015-01-21,rent,PH
2500.0,2015-01-21,rent,PH
2200.0,2015-01-08,rent,apartment
4500.0,2015-01-21,rent,PH
2000.0,2015-01-08,rent,apartment
2000.0,2015-01-08,rent,apartment
15000.0,2015-01-06,rent,store
3200.0,2015-01-05,rent,apartment
1800.0,2015-01-05,rent,apartment
10000.0,2015-01-20,rent,apartment
14000.0,2015-01-04,rent,house
3200.0,2015-01-05,rent,apartment
4500.0,2015-01-08,rent,store
5900.0,2015-01-11,rent,apartment
6000.0,2015-01-21,rent,apartment
5500.0,2015-01-08,rent,apartment
3200.0,2015-01-12,rent,apartment
5000.0,2015-01-19,rent,apartment
27000.0,2015-01-28,rent,store
27000.0,2015-01-28,rent,store
5500.0,2015-01-11,rent,apartment
2800.0,2015-01-11,rent,apartment
2000.0,2015-01-07,rent,store
6000.0,2015-01-21,rent,apartment
2500.0,2015-01-20,rent,house
15000.0,2015-01-06,rent,store
8000.0,2015-01-06,rent,store
6000.0,2015-01-21,rent,house
4500.0,2015-01-21,rent,store
4900.0,2015-01-16,rent,apartment
8700.0,2015-01-06,rent,store
10000.0,2015-01-20,rent,house
24000.0,2015-01-10,rent,house
650.0,2015-01-06,rent,apartment
25000.0,2015-01-28,rent,store
6500.0,2015-01-05,rent,house
2800.0,2015-01-11,rent,apartment
3800.0,2015-01-11,rent,PH
4000.0,2015-01-11,rent,apartment
4000.0,2015-01-11,rent,PH
7500.0,2015-01-11,rent,house
4500.0,2015-01-22,rent,apartment
3900.0,2015-01-21,rent,apartment
4100.0,2015-01-06,rent,PH
3800.0,2015-01-06,rent,apartment
10000.0,2015-01-21,rent,store
7500.0,2015-01-22,rent,house
2500.0,2015-01-06,rent,house
2500.0,2015-01-17,rent,store
1600.0,2015-01-26,rent,store
2900.0,2015-01-08,rent,apartment
3700.0,2015-01-04,rent,PH
3700.0,2015-01-04,rent,PH
6500.0,2015-01-15,rent,store
4000.0,2015-01-12,rent,apartment
3500.0,2015-01-21,rent,apartment
3000.0,2015-01-21,rent,PH
25000.0,2015-01-21,rent,house
1400.0,2015-01-08,rent,apartment
3300.0,2015-01-21,rent,apartment
17000.0,2015-01-05,rent,house
2500.0,2015-01-22,rent,apartment
2900.0,2015-01-08,rent,PH
1800.0,2015-01-08,rent,apartment
3400.0,2015-01-22,rent,house
2500.0,2015-01-22,rent,apartment
2500.0,2015-01-22,rent,apartment
3000.0,2015-01-30,rent,house
2800.0,2015-01-30,rent,house
30000.0,2015-01-30,rent,house
40000.0,2015-01-30,rent,house
4000.0,2015-01-30,rent,house
25000.0,2015-01-30,rent,house
25000.0,2015-01-30,rent,house
20000.0,2015-01-30,rent,house
5400.0,2015-01-30,rent,house
3000.0,2015-01-30,rent,house
,2015-01-02,rent,apartment
,2015-01-14,rent,house
,2015-01-30,rent,apartment
,2015-01-02,rent,apartment
,2015-01-01,rent,apartment
,2015-01-01,rent,apartment
,2015-01-01,rent,house
,2015-01-01,rent,apartment
,2015-01-01,rent,apartment
,2015-01-01,rent,apartment
,2015-01-01,rent,apartment
,2015-01-01,rent,apartment
,2015-01-21,rent,apartment
,2015-01-21,rent,apartment
,2015-01-12,rent,apartment
,2015-01-22,rent,apartment
,2015-01-01,rent,house
,2015-01-21,rent,house
,2015-01-11,rent,apartment
,2015-01-01,rent,house
,2015-01-03,rent,house
,2015-01-11,rent,apartment
,2015-01-12,rent,PH
,2015-01-18,rent,house
,2015-01-22,rent,apartment
,2015-01-14,rent,apartment
,2015-01-05,rent,apartment
0.0,2015-01-19,rent,apartment
0.0,2015-01-19,rent,apartment
0.0,2015-01-20,rent,store
0.0,2015-01-02,rent,store
0.0,2015-01-20,rent,apartment
0.0,2015-01-11,rent,store
0.0,2015-01-02,rent,apartment
0.0,2015-01-02,rent,apartment
0.0,2015-01-02,rent,store
0.0,2015-01-20,rent,apartment
0.0,2015-01-11,rent,apartment
