province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Unknown,United Kingdom,2022-05-25,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-07-02,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-12-25,,,,0,326,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-16,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-04-19,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-25,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-06,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-22,,,,0,334,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-27,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-09,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-26,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-12-22,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-23,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-04-05,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-13,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-04-07,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-26,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-15,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-23,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-06-21,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-12-21,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-02-19,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-02-01,,,,0,333,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-12-27,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-12-24,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-08-22,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-30,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-08-28,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-26,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-15,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-07-18,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-10-07,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-06-09,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-01,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-26,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-21,,,,0,334,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-02-18,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-04-06,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-14,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-12-11,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-12-22,,,,0,326,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-09-05,,,,0,312,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-22,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-02-03,,,,0,0,0,-109335,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-20,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-17,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-14,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-09,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-11,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-08-25,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-09-06,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-08-25,,,,0,310,,,,,"Unknown, United Kingdom"
